instance_id,tag,seed,n_vars,mechanism_class,has_self_edge,poset_shape,graham_acyclic,n_realized_patterns,target,true_value,gt_recoverable,gt_evidence,lp_width,witness_delta_phi,sheaf_recoverable,phi_spread_over_fiber,n_distinct_completions,observed_family_completable,conflict_mcar_style,agreement
n2_s014_d0,n2,20284901,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",0.3352943646173754,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,1.27675647831893e-15,12,False,True,UNDECIDED_GT
n2_s016_d0,n2,20286901,2,MCAR,False,acyclic,True,4,"['mean', 0]",,RECOVERABLE,formula:direct_full_pattern,,,RECOVERABLE,0.0,1,False,False,True
n2_s016_d0,n2,20286901,2,MCAR,False,acyclic,True,4,"['mean', 1]",,RECOVERABLE,formula:direct_full_pattern,,,RECOVERABLE,0.0,1,False,False,True
n2_s016_d1,n2,20286902,2,MCAR,False,acyclic,True,4,"['mean', 0]",,RECOVERABLE,formula:direct_full_pattern,,,RECOVERABLE,0.0,1,False,False,True
n2_s016_d1,n2,20286902,2,MCAR,False,acyclic,True,4,"['mean', 1]",,RECOVERABLE,formula:direct_full_pattern,,,RECOVERABLE,0.0,1,False,False,True
n2_s014_d1,n2,20284902,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",0.6782754888532601,UNRECOVERABLE,model_witness dphi=0.2915 dist=1.7e-16,0.5,0.2915191604103687,UNRECOVERABLE,0.24752942311688292,12,False,True,True
n2_s014_d1,n2,20284902,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",0.41914287741486445,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,1.6431300764452317e-14,12,False,True,UNDECIDED_GT
n2_s013_d1,n2,20283902,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",0.6642759114321303,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s013_d1,n2,20283902,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",,RECOVERABLE,formula:anchor_direct,,,RECOVERABLE,0.0,1,False,True,True
n2_s017_d0,n2,20287901,2,MNAR_other,False,acyclic,True,4,"['mean', 0]",,RECOVERABLE,formula:anchor_direct,,,RECOVERABLE,0.0,1,False,True,True
